Summary,Issue key,Issue id,Parent id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Affects Version/s,Fix Version/s,Due Date,Votes,Labels,Labels,Description,Environment,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Blocks),Outward issue link (Cloners),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Attachment,Attachment,Attachment,Custom field (Acceptance Criteria),Custom field (Assign to team),Custom field (Backlog Weight),Custom field (Business Value),Custom field (Due Date),Custom field (Epic Colour),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Flagged),Custom field (Funding Source),Custom field (Impact),Custom field (Pre-Condition),Custom field (Previous Names),Custom field (Product Line(s)),Custom field (Rank),Custom field (Rank (Obsolete)),Custom field (Requirements),Custom field (SimV Story Points Deprecated),Sprint,Sprint,Sprint,Sprint,Custom field (Story Points),Custom field (T-Shirt),Custom field (Zephyr Teststep),Comment,Comment,Comment,Comment,Comment
Preserve Bulleted and Numbered Lists in Slide Products,MMP-245,18256,,Story,Closed,MMP,MMP,software,MattChild,Adaptation of the Informedb Enterprise web application for the USMC Modernization Master Plan (MMP),,3 - Major,,MatthewDavis,DavidTuell,DavidTuell,1/6/2015 15:19,1/10/2020 13:12,6/1/2021 9:14,,,Release 2,,0,,,"Currently, the proof-of-concept slide generation demo strips all HTML from the rich text fields. The user needs to be able to provide bulleted and numbered lists as input.",,,,,,,,,,,,,,,01/May/15 8:55 AM;DavidTuell;MMP-245.docx;https://jira.dev.simventions.com/secure/attachment/12462/MMP-245.docx,,,#NAME?,,,,,,MMP-2,,,,MMP,,,,USMC,2|hzxepb:,9.22337E+18,,,MMP Sprint 13,,,,8,,,,,,,
Add Supplemental Fields Section for Development Efforts,MMP-244,18255,,Improvement,Closed,MMP,MMP,software,MattChild,Adaptation of the Informedb Enterprise web application for the USMC Modernization Master Plan (MMP),,3 - Major,,MatthewDavis,DavidTuell,DavidTuell,1/6/2015 15:14,1/10/2020 13:12,6/1/2021 9:14,,,Release 2,,0,,,"As an MMP User, I need to be able to access/edit the additional fields that aren't in the MMP quad chart.

Add a tab titled ""Supplemental Info"" to the development effort editor page that contains the remaining fields (see Informedb Enterprise site for comprehensive list)

Ensure all fields required for the Technology Exercise quad are included in this list (consider even grouping them into their own section).",,,,,,,,,,,,,,,15/Apr/15 11:45 AM;DavidTuell;MMP-244.docx;https://jira.dev.simventions.com/secure/attachment/12430/MMP-244.docx,,,"- ""Supplemental Info"" tab contains the additional quad fields
- A Save button exists that saves only the supplemental quad fields.",,,,,,MMP-5,,,,MMP,,,,USMC,2|hzxemn:,9.22337E+18,HSI meeting 5 January,,MMP Sprint 12,,,,8,,,10/Apr/15 1:23 PM;DavidTuell;Blocked due to bugs discovered in core code.,,,,
Page header doesn't update when dev effort name changes,MMP-231,18187,,Bug,Closed,MMP,MMP,software,MattChild,Adaptation of the Informedb Enterprise web application for the USMC Modernization Master Plan (MMP),,3 - Major,,MatthewSerbinski,DavidTuell,DavidTuell,12/29/2014 9:28,1/10/2020 13:12,6/1/2021 9:14,,,Release 1,,0,,,"After a development effort is saved, the header in the editor page does not update to reflect the new name if the development effort name changes.",,14400,0,,0%,14400,0,,,,,,,,13/Jan/15 10:23 AM;DavidTuell;MMP-231.docx;https://jira.dev.simventions.com/secure/attachment/11824/MMP-231.docx,,,"- When a dev effort is successfully saved, the page header changes to reflect the dev effort's current name.
- The browser's window title also updates to reflect the changed name.",,,,,,MMP-11,,,,,,,,,2|hzx63b:,9.22337E+18,,,MMP Sprint 6,,,,2,,,,,,,
Link orphaned Program Schedules,MMP-178,17918,,Task,Closed,MMP,MMP,software,MattChild,Adaptation of the Informedb Enterprise web application for the USMC Modernization Master Plan (MMP),,3 - Major,,DavidTuell,DavidTuell,DavidTuell,12/5/2014 17:55,1/10/2020 13:12,6/1/2021 9:14,,,Release 1,,0,,,There are Program Schedules that appear to subtyped with two Programs of Record objects that are missing. Discuss way ahead for this data with the customer and programmatically implement a fix.,,7200,0,,0%,7200,0,,,,,,,,,,,#NAME?,,,,,,,,,,MMP,,,,USMC,2|hzx5zz:,9.22337E+18,,,MMP Sprint 5,,,,2,,,,,,,
Redesign Welcome Page,MMP-38,17079,,Story,Closed,MMP,MMP,software,MattChild,Adaptation of the Informedb Enterprise web application for the USMC Modernization Master Plan (MMP),,3 - Major,,MatthewSerbinski,DavidTuell,DavidTuell,10/24/2014 10:06,1/10/2020 13:12,6/1/2021 9:14,,,Release 2,,0,,,"As an MMP user, I need an easily readable welcome page that allows me to log in to the tool or request access based on my CAC credentials.

Redesign welcome page to meet the following HSI study requirements
- Hide DoD user ID number
- Properly centered banners and page content
- Utilize new MMP logo",,,,,,,,,,,,,,,19/May/15 2:09 PM;DavidTuell;MMP-38.docx;https://jira.dev.simventions.com/secure/attachment/12515/MMP-38.docx,,,"- Welcome page properly displays user's name without DoD user ID
- Banners are centered on the page and do not obscure content.
- New MMP logo is used.",,,,,,MMP-8,,,,MMP,,,,USMC,2|hzxew7:,9.22337E+18,"HSI Item 6
HSI Item 7
HSI Item 8
HSI Item 9
HSI Item 10
HSI Item 11
HSI Item 12
HSI Item 35",,MMP Sprint 15,,,,13,,,,,,,
Allow development efforts to transition to development efforts in a roadmap,MMP-733,34195,,Improvement,Closed,MMP,MMP,software,MattChild,Adaptation of the Informedb Enterprise web application for the USMC Modernization Master Plan (MMP),,3 - Major,,MattChild,MattChild,MattChild,7/17/2018 14:02,8/8/2018 14:00,6/1/2021 9:14,,,1.0.5,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2|hzx5of:,9.22337E+18,,,,,,,,,,,,,,
Allow programs to transition to programs in a roadmap,MMP-732,34194,,Improvement,Closed,MMP,MMP,software,MattChild,Adaptation of the Informedb Enterprise web application for the USMC Modernization Master Plan (MMP),,3 - Major,,MattChild,MattChild,MattChild,7/17/2018 14:01,8/8/2018 9:24,6/1/2021 9:14,,,1.0.5,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2|hzx5o7:,9.22337E+18,,,,,,,,,,,,,,
Research spike: Wrapping redactor in a typescript component,MMP-1231,45956,,Task,New,MMP,MMP,software,MattChild,Adaptation of the Informedb Enterprise web application for the USMC Modernization Master Plan (MMP),,2 - Minor,,,MattChild,MattChild,5/18/2021 11:20,5/18/2021 11:21,6/1/2021 9:14,,,,,0,,,The existing fields for editing memos are using redactor. We need to see if we can port that.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2|hzznqf:cbic495yfi,9.22337E+18,,,,,,,,,,,,,,
Add Dam Neck staff to the CAT database,MMP-1222,45675,,Task,New,MMP,MMP,software,MattChild,Adaptation of the Informedb Enterprise web application for the USMC Modernization Master Plan (MMP),,2 - Minor,,,MattChild,MattChild,5/5/2021 10:56,5/5/2021 17:16,6/1/2021 9:14,,,,,0,,,"Set the CAT PMs. No names should be included:
 * R Staff
 * R10
 * R20
 * R30
 * R40

Needs to be done on the live server. Coordinate with Ricky.

Should this also be updated on local?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2|hzznqf:cbic495yg,9.22337E+18,,,,,,,,,,,,,,
Discussions: Auto complete a mention when you press space if it's a match,MMP-1225,45688,,New Feature,New,MMP,MMP,software,MattChild,Adaptation of the Informedb Enterprise web application for the USMC Modernization Master Plan (MMP),,2 - Minor,,,MattChild,MattChild,5/5/2021 15:20,5/5/2021 17:15,6/1/2021 9:14,,,,,0,,,"When you start typing a mention, if you type @mchild and press space, which exactly matches a user name, it will insert it as plain text. If there's an exact match, it should insert the match.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2|i00bjm:,9.22337E+18,,,,,,,,,,"05/May/21 3:21 PM;MattChild;Docs for slate have good resources:

[https://docs.slatejs.org/]

 

Modifications will probably be in ChatMessageBox",,,,
Discussions: add better support for names with spaces,MMP-1224,45687,,New Feature,New,MMP,MMP,software,MattChild,Adaptation of the Informedb Enterprise web application for the USMC Modernization Master Plan (MMP),,2 - Minor,,,MattChild,MattChild,5/5/2021 15:18,5/5/2021 17:15,6/1/2021 9:14,,,,,0,,,"In the discussions tab, if you @ a name and start typing a name with a space, it will end the auto completion as soon as you type a space.

 

Work arounds: You can still select it from the list.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2|i00bje:,9.22337E+18,,,,,,,,,,"05/May/21 3:22 PM;MattChild;Docs for slate have good resources:

[https://docs.slatejs.org/]

 

Modifications will probably be in ChatMessageBox",,,,
"Financial Reports: At 80% browser zoom, you can't see the text of the FY start and end filters",MMP-1221,45667,,Bug,New,MMP,MMP,software,MattChild,Adaptation of the Informedb Enterprise web application for the USMC Modernization Master Plan (MMP),,2 - Minor,,,MattChild,MattChild,5/4/2021 15:12,5/4/2021 15:13,6/1/2021 9:14,,2.4,,,0,,,"Reported by: Brad, during RC testing.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2|i00bfm:,9.22337E+18,,,,,,,,,,,,,,
Dev testing e-mail provider prevents testing hyperlinks in e-mails,MMP-1217,45579,,Task,New,MMP,MMP,software,MattChild,Adaptation of the Informedb Enterprise web application for the USMC Modernization Master Plan (MMP),,2 - Minor,,,MattChild,MattChild,4/29/2021 17:09,4/29/2021 17:11,6/1/2021 9:14,,,,,0,,,"We cannot verify that the links that are generated are correct with SendGrid, the e-mail provider we are currently using. SendGrid mangles the links such that it is impossible to tell if they are right or not.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2|i00azm:,9.22337E+18,,,,,,,,,,,,,,
"Word Export Preview: Preview does not update when selecting ""ID"" or ""Object type""",MMP-1207,45495,,Bug,New,MMP,MMP,software,MattChild,Adaptation of the Informedb Enterprise web application for the USMC Modernization Master Plan (MMP),,2 - Minor,,,MattChild,MattChild,4/23/2021 10:20,4/29/2021 11:30,6/1/2021 9:14,,2.4,2.4,,0,,,"When you go into available attributes and select either ""Object type"" or ""ID"", the preview to the right does not update to reflect the selection.

The value is present in the generated document, though.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2|hzznqf:cbic496,9.22337E+18,,,,,,,,,,,,,,
Chat,MMP-1136,44809,,Epic,New,MMP,MMP,software,MattChild,Adaptation of the Informedb Enterprise web application for the USMC Modernization Master Plan (MMP),,2 - Minor,,,MattChild,MattChild,3/2/2021 12:37,4/19/2021 10:01,6/1/2021 9:14,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,ghx-label-13,,Chat,,,,,,,,2|i0086a:,9.22337E+18,,,,,,,,,,,,,,
Connections View,MMP-1087,44192,,Epic,New,MMP,MMP,software,MattChild,Adaptation of the Informedb Enterprise web application for the USMC Modernization Master Plan (MMP),,2 - Minor,,,MattChild,MattChild,1/14/2021 11:48,3/18/2021 10:20,6/1/2021 9:14,,,,,0,,,"Acceptance Criteria:
-	A user can view what program of records are related to the development effort viewed
-	A user can view what roadmaps are related to the development effort viewed
-	A user can view what funding increments are related to the development effort viewed
o	Funding increments are not related to programs of record or roadmaps
-	A user can view what development efforts are related to the Program of Record viewed
-	A user can view what roadmaps are related to the Program of Record viewed
-	Can navigate to the details of related items

Description:
Contract:

6. D3 View:  Quick connectivity view of what each object is connected to

Story:
As an ATI, I want to know what a program of record or development effort is related to so that I can answer a data call or identify potential problems with it

Implementation Notes (Initial):
- Overview-type map for finding out what is connected to what
- Need to find a place in this site for this to fit.
- Start with relationships between roadmaps, dev efforts, and program of record
- Investigate to see whether or not other data would be helpful (like funding).

Implementation Notes From Feature Shaping 11/9/2020:
- Something in the details page
- Clearly differentiate kinds of things (roadmaps vs. development effort)
- It would be really neat to see the details of the things in the (chart, view)
- Really useful information in the data: 
-- Development efforts: Name, PM, funding source, status
-- Program of record: Name, PM, acronym
-- Roadmap: Name, PM, image
-- Funding increment: type and total

Notes:
I don’t know if a dev effort is connected to a roadmap
Provide the user an understanding of what “that thing” is connected to”
Dev effort is connected to this program of record, roadmap, funding elements
-	Finding if there’s no program of record it’s connected to
-	Show TRL at transition point (bonus)
What flavor of money is getting them to a transition point?
Program of record =>
  What dev efforts feed into it, what roadmaps it is a part of
Should we approach the tabs differently?
Development effort a specific set of kinds of funding
Transitioning => level of maturity is high, globally agreed it is needed. Lots of $$$
Gap analysis – am I missing funding, is it not going to be mature enough
Could be really easy to put in other places if we componentize it right
",,,,,,,,,,,,,,,14/Jan/21 11:51 AM;MattChild;Connections view notes-2020.11.30.txt;https://jira.dev.simventions.com/secure/attachment/20442/Connections+view+notes-2020.11.30.txt,14/Jan/21 11:51 AM;MattChild;MMP Roadmap connections and states v2.pdf;https://jira.dev.simventions.com/secure/attachment/20444/MMP+Roadmap+connections+and+states+v2.pdf,14/Jan/21 11:51 AM;MattChild;connections view with side panel.png;https://jira.dev.simventions.com/secure/attachment/20443/connections+view+with+side+panel.png,,,,,,ghx-label-9,,Connections View,Done,,,,,,,2|i005vw:,9.22337E+18,,,,,,,,,,"14/Jan/21 11:52 AM;MattChild;As discussed on 2020-11-30, the connections tab idea was agreed as a good starting point. For MVP, we need to:

    Clearly identify what is a program of record vs roadmap vs dev effort
    We should not make anything selectable (until we can add some other features to make selection more useful).

",,,,
Display single select data in a chart or graph,MMP-924,42375,,Epic,New,MMP,MMP,software,MattChild,Adaptation of the Informedb Enterprise web application for the USMC Modernization Master Plan (MMP),,2 - Minor,,,MattChild,MattChild,8/11/2020 15:16,3/18/2021 10:20,6/1/2021 9:14,,,2.3,,0,5922TO9-Task2,,"Contract:

3. Charts/Graphs Data Display:  Enable single select data for charts/graphs viewing

Implementation Notes:
- Simple type chart (pie or bar) based on single select data in a list page (roadmap, dev effort, program of record).
-- Example: % dev effort by PM.
- Probably put charts on the list page; will synergize with filtering in MMP-928.",,,,,,,,,,,,,,,,,,,,,,,ghx-label-13,,Pie Chart,Done,,,,,,,2|hzznqf:cai,9.22337E+18,,,,,,,,,,,,,,
Inline editing on list pages,MMP-923,42374,,Epic,New,MMP,MMP,software,MattChild,Adaptation of the Informedb Enterprise web application for the USMC Modernization Master Plan (MMP),,2 - Minor,,,MattChild,MattChild,8/11/2020 15:13,3/18/2021 10:20,6/1/2021 9:14,,,2.3,,0,5922TO9-Task2,,"Contract item:

1. In-Line Editing:  Expedite updating data lists on List Page instead of one object at a time.

Notes:
- Change the list pages (Roadmaps, Development Efforts, and Programs of Record) to be able to edit data in the tables without going to the details page.
-- Excludes roadmap image on roadmap list page.
- Only columns shown (not adding / removing columns)
- No restrictions for “edit mode” or not “edit mode”",,,,,,,,,,,,,,,12/Nov/20 12:06 PM;MattChild;Inline Editing Shaping - 11.12.2020.docx;https://jira.dev.simventions.com/secure/attachment/20171/Inline+Editing+Shaping+-+11.12.2020.docx,,,"-	Can only edit in the list view (roadmap, dev effort, program of record)
-	Can only edit the current columns
-	Can still go to the details of something in 1 click (navigation more important than edit)
-	Changes are saved as you make them (hot)
-	System status is conveyed (saved, saving, when last save was, errors)
-	Navigate with key presses
",,,,,ghx-label-4,,Inline Editing,Done,,,,,,,2|hzznqf:ca,9.22337E+18,,,,,,,,,,,,,,
Roadmap List: Adding a Dev Effort with blank TRL causes an error,MMP-1128,44391,,Bug,New,MMP,MMP,software,MattChild,Adaptation of the Informedb Enterprise web application for the USMC Modernization Master Plan (MMP),,2 - Minor,,,MattChild,MattChild,1/28/2021 16:33,1/28/2021 16:34,6/1/2021 9:14,,,,,0,,,"Blank TRL results in ""Invalid Development Effort roadmap data passed to server."" If <No TRL> is selected, it works. Should fix the dropdown to disallow the invalid option and/or clarify the error message.

Applies to all TRL types.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2|i006lo:,9.22337E+18,,,,,,,,,,,,,,
Image in the roadmap list can sometimes be blacked out / distorted,MMP-1125,44388,,Bug,New,MMP,MMP,software,MattChild,Adaptation of the Informedb Enterprise web application for the USMC Modernization Master Plan (MMP),,2 - Minor,,,MattChild,MattChild,1/28/2021 16:08,1/28/2021 16:09,6/1/2021 9:14,,,,,0,,,"Sometimes the Fiscal Year headers are black, there may be others too though.

This has existed since the first version of the feature.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2|hzznqf:cbic4c,9.22337E+18,,,,,,,,,,,,,,
Confusing modal state when creating a new dev effort,MMP-1109,44324,,Bug,New,MMP,MMP,software,MattChild,Adaptation of the Informedb Enterprise web application for the USMC Modernization Master Plan (MMP),,2 - Minor,,,DavidTuell,DavidTuell,1/25/2021 10:00,1/28/2021 16:04,6/1/2021 9:14,,,,,0,,,"When the user clicks Accept to save a new dev effort, the Accept button correctly uses a spinner while the dev effort is saving. However, the button goes back to a clickable state with no feedback while the redirect to the details page is taking place. This might lead users to take unintended actions because they think the app is unresponsive.

Note:
- you can't actually create another one due to the name constraint",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2|hzznqf:cbie,9.22337E+18,,,,,,,,,,,,,,
Financial Reports shows data from selected filter instead of applied filter,MMP-1123,44386,,Bug,New,MMP,MMP,software,MattChild,Adaptation of the Informedb Enterprise web application for the USMC Modernization Master Plan (MMP),,2 - Minor,,,MattChild,MattChild,1/28/2021 15:51,1/28/2021 15:54,6/1/2021 9:14,,,,,0,,,"Current behavior can mean that data that is currently visible and selected doesn't show in the generated report. Affects both drop downs and FY filters


Original report from 2.3-rc2 testing:
Dialog shows the currently SELECTED filter, but that will be different if the user changed it after they hit apply. Since they are selecting what to export from the list of results, this could potentially be confusing. Recommend deferring because: 1.) This is very likely an existing issue, 2.) It is not likely to happen often because the purpose of the table is to preview the results and it doesn't seem likely a user will change the filter without applying it",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2|i006l8:,9.22337E+18,,,,,,,,,,,,,,
Create Connections View test data to save in one of the projects,MMP-1117,44377,,Task,New,MMP,MMP,software,MattChild,Adaptation of the Informedb Enterprise web application for the USMC Modernization Master Plan (MMP),,2 - Minor,,,MattChild,MattChild,1/28/2021 12:06,1/28/2021 12:07,6/1/2021 9:14,,,,,0,,,"Some test items (with large numbers of items) are very expensive to test because there's nothing like them in the data set we have and they need to be manually made.

Creating new items that exercise functions like 15 programs related to a dev effort would greatly speed those tests",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2|hzznqf:cbic5,9.22337E+18,,,,,,,,,,,,,,
Add a version number in the website somewhere,MMP-1114,44358,,Task,New,MMP,MMP,software,MattChild,Adaptation of the Informedb Enterprise web application for the USMC Modernization Master Plan (MMP),,2 - Minor,,,MattChild,MattChild,1/27/2021 8:46,1/27/2021 8:46,6/1/2021 9:14,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2|i006hw:,9.22337E+18,,,,,,,,,,,,,,
Connections View: Give users better understanding of what is connected to what,MMP-1090,44198,,New Feature,New,MMP,MMP,software,MattChild,Adaptation of the Informedb Enterprise web application for the USMC Modernization Master Plan (MMP),,2 - Minor,,,MattChild,MattChild,1/14/2021 11:59,1/25/2021 17:16,6/1/2021 9:14,,,,,0,,,"Implementation ideas:
- Add a hover to a program of record that highlights the lines that show what roadmaps it is in.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2|hzznqf:cbicc,9.22337E+18,,,,,,,,,,,,,,
Connections View: Give users more detail about data in the connectivity view,MMP-1091,44199,,New Feature,New,MMP,MMP,software,MattChild,Adaptation of the Informedb Enterprise web application for the USMC Modernization Master Plan (MMP),,2 - Minor,,,MattChild,MattChild,1/14/2021 12:00,1/25/2021 17:16,6/1/2021 9:14,,,,,0,,,"Implementation ideas: 
- Add the ability to navigate to the details of the connectivity view
- Give a tooltip that shows the most important data
- Click to select a sidebar (may need to wait until we reactify the page).
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2|hzznqf:cbico,9.22337E+18,,,,,,,,,,,,,,
Connections View: Add a tooltip with details,MMP-1105,44296,,Improvement,New,MMP,MMP,software,MattChild,Adaptation of the Informedb Enterprise web application for the USMC Modernization Master Plan (MMP),,2 - Minor,,,MattChild,MattChild,1/20/2021 14:11,1/21/2021 15:25,6/1/2021 9:14,,,,,0,,,"Currently you can only see the name of the connected things. It would be really useful to get additional details about those thie related items.

Ideas: 
-- Development efforts: Name, PM, funding source, status
-- Program of record: Name, PM, acronym
-- Roadmap: Name, PM, image
-- Funding increment: type and total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2|hzznqf:cbid,9.22337E+18,,,,,,,,,,,,,,
Look into preserving selection after the image is captured,MMP-1098,44249,,Task,New,MMP,MMP,software,MattChild,Adaptation of the Informedb Enterprise web application for the USMC Modernization Master Plan (MMP),,2 - Minor,,,DavidTuell,DavidTuell,1/18/2021 13:35,1/20/2021 8:51,6/1/2021 9:14,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2|hzznqf:cbif,9.22337E+18,,,,,,,,,,,,,,
Update the template for creating upgrade scripts for a new version,MMP-954,43051,,Task,New,MMP,MMP,software,MattChild,Adaptation of the Informedb Enterprise web application for the USMC Modernization Master Plan (MMP),,2 - Minor,,,MattChild,MattChild,10/7/2020 13:31,1/20/2021 8:48,6/1/2021 9:14,,,,,0,,,Do this before any upgrade script is needed.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2|hzznqu:,9.22337E+18,,,,,,,,,,,,,,
Roadmap Chart: Layout the icons horizontally,MMP-1054,43739,,Improvement,New,MMP,MMP,software,MattChild,Adaptation of the Informedb Enterprise web application for the USMC Modernization Master Plan (MMP),,2 - Minor,,,MattChild,MattChild,11/20/2020 11:57,1/4/2021 11:38,6/1/2021 9:14,,,,,0,RoadmapUsability,,"Select icon on the left, then ""type"" icon, then text, then ""Go to"" icon",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2|hzznqf:cbii,9.22337E+18,,,,,,,,,,,,,,
"List pages - show a transition when you ""go to"" the details of data",MMP-1063,43874,,Improvement,New,MMP,MMP,software,MattChild,Adaptation of the Informedb Enterprise web application for the USMC Modernization Master Plan (MMP),,2 - Minor,,,MattChild,MattChild,12/4/2020 9:05,1/4/2021 8:55,6/1/2021 9:14,,,,,0,,,"JP's original comment:
When the link is clicked, reflect the system status to the user via some progress indicator (e.g. a spinner). When I clicked on a link I thought the links were not working and was surprised when the screen changed to another page. Also, when the link is clicked a weird black line appears in the shape of a transmission.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2|hzznqf:cbj,9.22337E+18,,,,,,,,,,,,,,
LastLogin does not show as updated after account is unlocked,MMP-1064,43876,,Bug,New,MMP,MMP,software,MattChild,Adaptation of the Informedb Enterprise web application for the USMC Modernization Master Plan (MMP),,2 - Minor,,,MattChild,MattChild,12/4/2020 10:28,12/4/2020 16:10,6/1/2021 9:14,,,,,0,,,"When a user is locked from account disabling, unlocking them updates their login to now. However, the UI does not reflect this.

On refresh, it shows correctly.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2|hzznt8:,9.22337E+18,,,,,,,,,,,,,,
Roadmap Chart: Change the color of row headers and background,MMP-1053,43738,,Improvement,New,MMP,MMP,software,MattChild,Adaptation of the Informedb Enterprise web application for the USMC Modernization Master Plan (MMP),,2 - Minor,,,MattChild,MattChild,11/20/2020 11:56,12/1/2020 9:41,6/1/2021 9:14,,,,,0,RoadmapUsability,,"- gray for program of record
- white for dev effort / background

(See JP for colors)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2|i0044u:,9.22337E+18,,,,,,,,,,,,,,
Roadmap Chart: Invert the bar / node color scheme,MMP-1055,43740,,Improvement,New,MMP,MMP,software,MattChild,Adaptation of the Informedb Enterprise web application for the USMC Modernization Master Plan (MMP),,2 - Minor,,,MattChild,MattChild,11/20/2020 11:58,12/1/2020 9:41,6/1/2021 9:14,,,,,0,RoadmapUsability,,"- Make the bars a light weight color
- Make the nodes a heavy weight color
- Make the transition links a lightweight color

(See JP for colors)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2|i0044x:,9.22337E+18,,,,,,,,,,,,,,
Reorganize roadmap tools,MMP-1057,43742,,Improvement,New,MMP,MMP,software,MattChild,Adaptation of the Informedb Enterprise web application for the USMC Modernization Master Plan (MMP),,2 - Minor,,,MattChild,MattChild,11/20/2020 12:01,11/20/2020 12:01,6/1/2021 9:14,,,,,0,,,"- Move tools to the left
- Bring actions out to the top",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2|i0044s:,9.22337E+18,,,,,,,,,,,,,,
Roadmap Chart: Add an on-hover to rows,MMP-1056,43741,,Improvement,New,MMP,MMP,software,MattChild,Adaptation of the Informedb Enterprise web application for the USMC Modernization Master Plan (MMP),,2 - Minor,,,MattChild,MattChild,11/20/2020 12:00,11/20/2020 12:01,6/1/2021 9:14,,,,,0,,,"- Highlight the line
- Change the color of the line
- Only show the ""Go to"" icon if you are hovered over it.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2|i0044k:,9.22337E+18,,,,,,,,,,,,,,
In-line Editing Usability Improvements,MMP-1052,43736,,Improvement,New,MMP,MMP,software,MattChild,Adaptation of the Informedb Enterprise web application for the USMC Modernization Master Plan (MMP),,2 - Minor,,,MattChild,MattChild,11/20/2020 9:35,11/20/2020 9:36,6/1/2021 9:14,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2|hzznqf:cbp,9.22337E+18,,,,,,,,,,,,,,
Shortcut keys for up and down,MMP-1041,43619,,New Feature,New,MMP,MMP,software,MattChild,Adaptation of the Informedb Enterprise web application for the USMC Modernization Master Plan (MMP),,2 - Minor,,,MattChild,MattChild,11/12/2020 14:02,11/12/2020 14:04,6/1/2021 9:14,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,MMP-923,,,,,,,,,2|hzznqf:cbk,9.22337E+18,,,,,,,,,,,,,,
Display errors for inline editing,MMP-1043,43621,,New Feature,New,MMP,MMP,software,MattChild,Adaptation of the Informedb Enterprise web application for the USMC Modernization Master Plan (MMP),,2 - Minor,,,MattChild,MattChild,11/12/2020 14:03,11/12/2020 14:04,6/1/2021 9:14,,,,,0,,,"- Idea: Toast appears for 5 seconds and then goes away
- Consider putting in reactified toast component
- If it works well, decide if we should expand it",,,,,,,,,,,,,,,,,,,,,,,,MMP-923,,,,,,,,,2|hzznqf:cbo,9.22337E+18,,,,,,,,,,,,,,
Shortcut keys for left and right,MMP-1040,43618,,New Feature,New,MMP,MMP,software,MattChild,Adaptation of the Informedb Enterprise web application for the USMC Modernization Master Plan (MMP),,2 - Minor,,,MattChild,MattChild,11/12/2020 14:02,11/12/2020 14:04,6/1/2021 9:14,,,,,0,,,Shortcut keys to go left and right between fields in the same row,,,,,,,,,,,,,,,,,,,,,,,,MMP-923,,,,,,,,,2|hzznqf:cbji,9.22337E+18,,,,,,,,,,,,,,
